# ID  RA  Dec  zRS  ENVIRONMENT  
177  151.03892  0.4248744  0.0476416  4  
176  151.05978  0.50810176  0.04614044  4  
175  151.09574  0.51823716  0.0481279  4  
174  151.08344  0.47663764  0.04550909  4  
173  150.98446  0.81661237  0.04620731  4  
172  151.17015  0.36990042  0.04458822  3  
171  151.0909  0.53420176  0.04717308  4  
170  151.29172  -1.1362513  0.04635897  4  
182  152.13042  0.35665617  0.03297864  4  
183  154.79134  0.13396091  0.04607654  4  
180  152.19924  -0.2698308  0.04523472  4  
2  150.39626  12.764981  0.02095617  1  
186  155.47169  0.29534091  0.02148222  4  
187  155.46497  0.41011418  0.02134296  4  
184  155.16412  0.0022595689  0.0533902  1  
185  154.92791  0.95287835  0.05314948  1  
188  155.29591  0.03058956  0.0540349  4  
189  156.85423  1.2417612  0.02206458  4  
11  153.87437  13.059055  0.04035212  4  
10  153.71291  13.338702  0.03915141  1  
13  154.1604  13.852258  0.04822463  4  
12  154.24554  13.399298  0.03245738  4  
15  154.53419  12.743342  0.04880247  4  
14  154.36828  12.897772  0.04886701  4  
17  155.96871  12.113635  0.04909367  4  
16  156.058  12.224918  0.0534972  1  
19  157.22943  12.580006  0.03313473  1  
18  157.2457  12.450852  0.03224058  1  
322  159.92876  -0.70793702  0.02719358  4  
323  160.44369  -0.60057035  0.03641907  4  
320  158.37111  -0.86040846  0.04044293  4  
321  159.85805  -1.2451182  0.03944447  4  
326  160.9255  -0.92175778  0.03971817  1  
327  160.89476  -0.93423564  0.03870971  1  
324  159.85161  -0.38928754  0.01855623  1  
325  160.81051  -1.0873827  0.03826432  1  
328  160.67808  -0.34817529  0.01873406  1  
329  160.93824  -0.42325978  0.03910941  1  
201  209.94174  1.0758052  0.04900636  1  
200  209.92807  1.1103623  0.048603  1  
203  210.79911  -0.97482068  0.0247677  4  
202  211.21925  -0.61125633  0.02473078  1  
205  211.1292  -0.75622125  0.0540957  4  
204  210.92707  -1.1373815  0.02694167  4  
207  145.96966  0.83091776  0.03635695  1  
206  211.10827  -0.35614922  0.04756837  4  
209  145.80019  0.41417226  0.02524959  4  
208  145.89356  1.0284222  0.05329375  4  
77  204.59937  14.026876  0.0430956  4  
76  200.1899  15.259107  0.02290553  2  
75  200.39985  15.321629  0.02206582  2  
74  200.15847  14.592569  0.02953613  4  
73  242.11786  7.4567608  0.03345593  4  
72  242.13001  6.3561222  0.04939973  4  
71  241.10945  8.6358774  0.04181174  4  
70  238.88732  7.3811851  0.04464837  4  
79  203.95628  13.417537  0.04225575  1  
78  203.98542  13.343046  0.04240857  1  
8  150.87304  13.103323  0.02772479  4  
120  179.58032  11.390988  0.03551906  4  
121  180.11912  12.042472  0.04325194  1  
122  180.20928  12.167629  0.04011058  1  
123  180.27304  11.840157  0.04378546  1  
124  180.10886  11.995923  0.04383738  1  
125  179.3251  11.655885  0.02130377  4  
126  179.75317  12.083806  0.03668709  4  
127  180.09847  11.935011  0.04356466  1  
128  181.92463  12.04864  0.02998388  4  
129  181.79769  12.454114  0.04251354  4  
414  171.97675  -1.2257048  0.04205796  4  
415  171.10893  -0.42707792  0.04872853  4  
416  171.3441  -0.12091952  0.029541  4  
