# col1   col2        col3           col4         
  56     237.19601   9.5240641      0.04018098   
  57     237.04894   9.0734947      0.03926871   
  58     236.99379   9.1591325      0.03898042   
  59     237.03278   9.1671343      0.03904946   
  60     236.93527   9.0179555      0.05135702   
  61     237.02307   9.1180703      0.04179446   
  62     237.47837   9.8286351      0.04583357   
  63     237.29432   10.052189      0.05116936   
  64     237.09723   9.1050456      0.04173599   
  65     237.0682    9.1159231      0.04171704   
  66     238.32741   7.5582389      0.04336397   
  67     238.2473    8.0164793      0.04103215   
  68     238.71564   7.9489673      0.04503428   
  69     238.82808   7.8408122      0.05057342   
  70     238.88732   7.3811851      0.04464837   
  71     241.10945   8.6358774      0.04181174   
  72     242.13001   6.3561222      0.04939973   
  73     242.11786   7.4567608      0.03345593   
  74     200.15847   14.592569      0.02953613   
  75     200.39985   15.321629      0.02206582   
  76     200.1899    15.259107      0.02290553   
  77     204.59937   14.026876      0.0430956    
  78     203.98542   13.343046      0.04240857   
  79     203.95628   13.417537      0.04225575   
  80     203.92666   13.330908      0.04278259   
  81     205.62648   12.860405      0.0356552    
  82     205.55326   12.920534      0.04110489   
  83     205.19775   14.024836      0.04265201   
  84     205.35374   13.856         0.0239013    
  85     205.32074   13.775475      0.04522998   
  86     206.06191   13.871473      0.02162695   
  87     206.25786   13.331248      0.04744174   
  88     206.77233   14.6444        0.04275613   
  89     208.71178   14.136214      0.05101034   
  90     208.78116   13.876396      0.03999992   
  91     208.87595   14.802912      0.03960323   
  92     208.89052   14.764647      0.04080578   
  93     208.95117   14.71398       0.04078306   
  94     208.99228   14.061553      0.04063144   
  95     208.96931   14.37845       0.04043034   
  96     208.99466   14.387174      0.05169075   
  97     208.9956    13.86136       0.03888792   
  98     209.26866   13.853857      0.03915674   
  99     209.2309    14.142252      0.01502278   
  100    209.26655   14.683241      0.04086737   
  101    165.84716   12.820571      0.04641227   
  102    166.20796   12.540352      0.04655071   
  103    166.68971   12.474075      0.04543067   
  104    170.59278   11.67013       0.04998963   
  105    170.66894   12.025584      0.03993211   
  106    170.15801   11.62778       0.04976758   
  107    170.32458   11.555234      0.04155841   
  108    170.40174   11.737096      0.03988235   
  109    170.30179   11.914746      0.03990047   
  110    169.92424   11.990139      0.03980825   
  111    172.10508   12.158667      0.04601798   
  112    171.88161   12.142878      0.04595821   
  113    173.73674   13.008795      0.03438968   
  114    173.61821   12.451974      0.04124846   
  115    175.4361    12.493644      0.03417505   
  116    175.47873   12.508537      0.03449763   
  117    176.39602   12.204941      0.0309458    
  118    178.68803   12.959344      0.05462075   
  119    178.74228   12.835974      0.05459871   
  120    179.58032   11.390988      0.03551906   
  121    180.11912   12.042472      0.04325194   
  122    180.20928   12.167629      0.04011058   
  123    180.27304   11.840157      0.04378546   
  124    180.10886   11.995923      0.04383738   
  125    179.3251    11.655885      0.02130377   
  126    179.75317   12.083806      0.03668709   
  127    180.09847   11.935011      0.04356466   
  128    181.92463   12.04864       0.02998388   
  129    181.79769   12.454114      0.04251354   
  130    182.01289   11.238471      0.03171144   
  131    182.08142   11.503098      0.03028794   
  132    181.80182   12.534211      0.04242659   
  133    232.42285   28.522239      0.03491478   
  134    232.70022   28.545729      0.03491834   
  135    231.81279   28.788985      0.03435544   
  136    235.15264   28.512459      0.03275357   
  137    235.25313   28.323055      0.03222658   
  138    235.21496   28.341032      0.03287929   
  139    235.13385   28.337355      0.03108968   
  140    235.12498   28.365709      0.02998412   
  141    235.24978   28.145382      0.03197753   
  142    235.49682   28.24034       0.03259275   
  143    235.43206   28.345497      0.03275606   
  144    235.41007   28.320464      0.03259887   
  145    235.42781   28.071019      0.03339292   
  146    235.39824   28.049612      0.03189148   
  147    235.47974   28.122581      0.03208895   
  148    235.43363   28.28682       0.03311354   
  149    235.34411   28.229753      0.03208831   
  150    242.74847   24.435982      0.03360607   
  151    242.18759   24.20484       0.04089347   
  152    146.36539   -0.34351527    0.05248393   
  153    146.32958   -0.30622363    0.03645184   
  154    146.05733   -0.097030167   0.03673035   
  155    146.23184   0.068229156    0.02160817   
  156    146.52027   0.87187462     0.02680829   
  157    146.8068    0.66563514     0.0200758    
  158    146.79909   0.70274154     0.03053254   
  159    148.76194   0.75748407     0.04713756   
  160    148.97539   0.33293438     0.04747811   
  161    149.041     0.32583021     0.03545549   
  162    150.01692   -0.58805614    0.04600773   
  163    150.00945   -1.0622464     0.04609136   
  164    150.44232   -0.21109708    0.03312969   
  165    150.51385   -0.21379652    0.04516219   
  166    150.47062   -0.12517918    0.03283051   
  167    151.64216   -0.88433315    0.04341146   
  168    151.56104   -0.98272919    0.04583225   
  169    151.97043   -0.15373621    0.04611932   
  170    151.29172   -1.1362513     0.04635897   
  171    151.0909    0.53420176     0.04717308   
  172    151.17015   0.36990042     0.04458822   
  173    150.98446   0.81661237     0.04620731   
  174    151.08344   0.47663764     0.04550909   
  175    151.09574   0.51823716     0.0481279    
  176    151.05978   0.50810176     0.04614044   
  177    151.03892   0.4248744      0.0476416    
  178    151.11289   0.5240058      0.04661307   
  179    150.97825   0.5826932      0.044733     
  180    152.19924   -0.2698308     0.04523472   
  181    151.62786   1.1411449      0.04559894   
  182    152.13042   0.35665617     0.03297864   
  183    154.79134   0.13396091     0.04607654   
  184    155.16412   0.0022595689   0.0533902    
  185    154.92791   0.95287835     0.05314948   
  186    155.47169   0.29534091     0.02148222   
  187    155.46497   0.41011418     0.02134296   
  188    155.29591   0.03058956     0.0540349    
  189    156.85423   1.2417612      0.02206458   
  190    156.71832   0.9297195      0.04191952   
  191    156.68114   1.0061399      0.02164586   
  192    156.78395   0.9656361      0.03443834   
  193    157.39755   0.46179901     0.05095989   
  194    159.05953   -0.1590316     0.02770622   
  195    204.37721   0.47065076     0.0473003    
  196    206.77119   -0.1011332     0.04641291   
  197    208.22692   -1.11463       0.004585617  
  198    209.52939   -0.39245012    0.02957562   
  199    209.84218   0.20659572     0.03284724   
  200    209.92807   1.1103623      0.048603     
  201    209.94174   1.0758052      0.04900636   
  202    211.21925   -0.61125633    0.02473078   
  203    210.79911   -0.97482068    0.0247677    
  204    210.92707   -1.1373815     0.02694167   
  205    211.1292    -0.75622125    0.0540957    
  206    211.10827   -0.35614922    0.04756837   
  207    145.96966   0.83091776     0.03635695   
  208    145.89356   1.0284222      0.05329375   
  209    145.80019   0.41417226     0.02524959   
  210    145.72946   0.12689565     0.03669919   
  211    146.02091   0.7335569      0.03617733   
  212    147.51314   0.71902039     0.03094283   
  213    147.89586   1.1120728      0.02054176   
  214    147.89718   0.43473978     0.02063313   
  215    149.53812   0.60086726     0.04669769   
  216    149.44456   0.67282345     0.04660738   
  217    149.37023   0.58818421     0.04639048   
  218    149.43027   0.6899478      0.04589036   
  219    149.55064   0.23722537     0.03502265   
  220    149.64744   0.57001104     0.04577184   
  221    149.70775   0.16144659     0.04730976   
  222    149.91553   0.54105659     0.04483392   
  223    149.65731   0.87075168     0.03902926   
  224    150.10153   0.70459403     0.03337267   
  225    150.06597   0.51724897     0.03290574   
  226    150.13205   0.54897864     0.03252227   
  227    150.08477   0.50597453     0.03316718   
  228    150.03877   0.19701772     0.04675085   
  229    150.08223   0.4782499      0.04612698   
  230    149.77315   1.204926       0.0463249    
  231    150.59395   0.55864539     0.04419884   
  232    150.69088   0.53051483     0.0449676    
  233    150.63229   0.26111798     0.04374476   
  234    150.62846   0.30728894     0.03367684   
  235    150.356     0.83320353     0.04603692   
  236    150.51703   0.6875303      0.04514595   
  237    153.357     -0.90982736    0.04168135   
  238    153.35722   -0.78170171    0.04228243   
  239    153.4002    -0.62366728    0.04664776   
  240    153.16802   -1.0616722     0.04451234   
  241    152.79113   -0.39943123    0.04664793   
  242    152.74167   -0.50283064    0.04600343   
  243    152.71324   -0.64513111    0.04348949   
  244    153.58321   -0.85845158    0.04957389   
  245    153.50979   -0.89166156    0.0448721    
  246    153.47269   -0.87664087    0.0467645    
  247    153.64283   -0.83699538    0.04470693   
  248    153.93947   0.27631266     0.04546872   
  249    155.26953   0.68242336     0.05409241   
  250    155.63074   0.69304681     0.03367727   
  251    156.14897   1.1098312      0.02170384   
  252    205.42577   0.63591717     0.04894651   
  253    205.49588   0.60149165     0.04768935   
  254    206.80646   -0.67132914    0.04749686   
  255    210.90651   -0.1400138     0.04798348   
  256    210.68384   -0.58758386    0.05433095   
  257    210.54408   -0.23621133    0.04425279   
  258    208.68607   0.11509863     0.02983897   
  259    209.27672   0.75954513     0.04869257   
  260    212.0878    -0.59128621    0.05232558   
  261    212.08556   -0.67546128    0.05252395   
  262    212.13171   -0.12704596    0.02506297   
  263    212.02417   -0.1941604     0.05358892   
  264    212.0066    -0.22561372    0.05328913   
  265    212.10361   -0.58914533    0.05267616   
  266    211.68879   -0.59641286    0.05274726   
  267    158.46399   -0.56135194    0.03133979   
  268    159.79914   -0.40949106    0.01876407   
  269    159.79762   -0.015888204   0.04991302   
  270    159.83522   -0.20025624    0.01870119   
  271    163.6087    0.66373778     0.03743362   
  272    163.53433   0.36103057     0.04774925   
  273    163.55068   0.68461593     0.04267079   
  274    163.75347   0.70527865     0.04942285   
  275    163.85478   1.0957353      0.05430352   
  276    164.30487   0.63860485     0.03928244   
  277    166.24016   1.0382859      0.04345975   
  278    166.69301   0.25667317     0.04195643   
  279    166.63863   0.28000707     0.0422501    
  280    168.36645   -0.056909478   0.03937292   
  281    170.0444    -0.27544492    0.0400801    
  282    168.98102   -0.773836      0.02725009   
  283    169.67904   -0.36162999    0.04057546   
  284    168.74148   0.48968267     0.04916326   
  285    168.86029   0.26984368     0.04394962   
  286    168.84205   0.11539415     0.02736283   
  287    169.10371   0.78188274     0.0459212    
  288    168.95747   0.99311152     0.04612494   
  289    168.95588   0.8604087      0.04581992   
  290    169.05027   1.2384881      0.04569846   
  291    169.03888   0.57352981     0.02892305   
  292    170.69868   1.0360298      0.04962702   
  293    170.64974   1.1163089      0.03967798   
  294    170.70658   1.2148558      0.03036951   
  295    172.6222    0.49430438     0.02898348   
  296    216.55409   0.86058722     0.03182086   
  297    217.53452   0.70347221     0.05376692   
  298    217.45755   0.66482078     0.05365314   
  299    217.55201   0.33354607     0.03442752   
  300    217.56241   0.62139459     0.0262329    
  301    216.83486   1.0258977      0.02565639   
  302    216.81064   0.99033868     0.05238415   
  303    216.87356   1.0558571      0.02577279   
  304    217.07668   1.1295944      0.05488437   
  305    217.30229   0.85042332     0.05437197   
  306    217.30666   1.0717938      0.03689209   
  307    218.90785   -1.0294385     0.03835317   
  308    216.81292   0.93109224     0.05225234   
  309    217.0189    1.0063377      0.02566936   
  310    219.37553   -0.84073512    0.05070959   
  311    220.82735   -1.2534416     0.04977922   
  312    220.83067   1.1713897      0.04977832   
  313    220.94264   0.71789708     0.0503807    
  314    223.40383   0.0056962864   0.04384198   
  315    223.39813   -0.4365642     0.04227361   
  316    223.19981   0.033080542    0.04434668   
  317    223.13316   -0.16635671    0.04244369   
  318    224.79112   0.75956396     0.04106777   
  319    225.2025    0.4923975      0.04256609   
  320    158.37111   -0.86040846    0.04044293   
  321    159.85805   -1.2451182     0.03944447   
  322    159.92876   -0.70793702    0.02719358   
  323    160.44369   -0.60057035    0.03641907   
  324    159.85161   -0.38928754    0.01855623   
  325    160.81051   -1.0873827     0.03826432   
  326    160.9255    -0.92175778    0.03971817   
  327    160.89476   -0.93423564    0.03870971   
  328    160.67808   -0.34817529    0.01873406   
  329    160.93824   -0.42325978    0.03910941   
  330    162.4215    0.3631152      0.03866832   
  331    162.47744   0.15903767     0.03896445   
  332    162.71656   0.58929842     0.03916226   
  333    162.59494   0.23637702     0.03942392   
  334    162.52569   0.33325977     0.04032925   
  335    162.5414    0.13758415     0.0501174    
  336    162.49522   0.32230856     0.03899863   
  337    163.32974   1.0526373      0.03730441   
  338    163.1192    1.0614186      0.03902899   
  339    163.24084   0.54163368     0.03930984   
  340    163.29867   0.68898537     0.03753402   
  341    165.63888   0.18729682     0.04979068   
  342    165.77745   0.19428669     0.04977782   
  343    166.00379   0.18201841     0.0496467    
  344    169.61903   -0.83164227    0.04971086   
  345    168.58018   0.17899607     0.03891266   
  346    169.38707   -0.18750165    0.04033846   
  347    169.18054   -0.21329928    0.03950331   
  348    169.39836   0.24985604     0.05322418   
  349    169.64924   0.41976742     0.02502942   
  350    170.10672   1.0668276      0.02303798   
  351    170.20004   0.46860645     0.0241728    
  352    171.03828   0.70055349     0.02600551   
  353    171.06254   0.41889841     0.03966612   
  354    171.49419   0.8214892      0.04921554   
  355    172.06834   0.89136864     0.03989454   
  356    171.90895   0.66418945     0.0291669    
  357    215.61509   0.059059204    0.03167036   
  358    216.13817   1.177306       0.03877855   
  359    216.5748    0.15433        0.05433347   
  360    216.19247   1.1708777      0.03944385   
  361    216.40848   1.0126345      0.05472433   
  362    217.42429   0.36900641     0.05374633   
  363    217.43418   0.081259718    0.05465845   
  364    217.44188   -0.15240642    0.03010685   
  365    217.34472   -0.82754393    0.04808114   
  366    216.88133   -0.92242203    0.03034461   
  367    216.88066   -0.59100022    0.04957435   
  368    219.56877   -0.34973752    0.03689807   
  369    158.71076   0.6764098      0.03203462   
  370    159.23906   0.22972839     0.02922444   
  371    162.3581    -0.56017127    0.05014241   
  372    162.44008   -0.83892943    0.0378281    
  373    162.63017   -0.79767291    0.03763325   
  374    162.20423   -0.98736956    0.02614697   
  375    162.22865   -0.70932096    0.02603709   
  376    162.35361   -0.42990001    0.0385065    
  377    162.46552   0.16418646     0.03951909   
  378    161.96128   -0.790182      0.05221032   
  379    163.0621    -0.95551861    0.04899042   
  380    162.98346   -0.41749728    0.04805402   
  381    162.88699   -1.0028922     0.03730522   
  382    162.90058   -1.0878652     0.03829499   
  383    162.91004   -1.1261567     0.03810253   
  384    162.71588   -0.90337531    0.03808302   
  385    162.73436   -0.79789964    0.03755802   
  386    162.47245   -0.39296897    0.03807246   
  387    162.40637   -0.90711486    0.03836371   
  388    162.65328   -0.83108198    0.03768215   
  389    162.28948   -0.9085465     0.03804233   
  390    164.30684   -0.8317685     0.03855626   
  391    164.35813   -0.71444173    0.05399065   
  392    164.57352   1.1418783      0.03987951   
  393    164.63169   0.90462837     0.04009909   
  394    164.12939   0.55886399     0.03806753   
  395    164.13822   0.54568762     0.03828512   
  396    164.97371   1.0960023      0.04985098   
  397    164.82438   1.1534874      0.03948564   
  398    167.16509   0.28432082     0.02485563   
  399    167.14663   0.21605911     0.04209985   
  400    167.28499   0.70729444     0.03854868   
  401    167.17042   0.3917855      0.02531278   
  402    167.79204   0.62517505     0.02505315   
  403    167.65884   0.89113194     0.02513688   
  404    167.68081   1.2277447      0.03771402   
  405    168.01972   0.26794183     0.03995889   
  406    168.23431   -0.90985576    0.03961598   
  407    167.51747   -0.56651676    0.03963303   
  408    167.5856    -0.12230395    0.04825342   
  409    167.86325   -0.28913822    0.04114856   
  410    170.5812    -0.62087663    0.0401581    
  411    170.3728    -0.58885009    0.04991531   
  412    170.89598   -0.090130957   0.04832833   
  413    170.63028   -0.017128795   0.04074237   
  414    171.97675   -1.2257048     0.04205796   
  415    171.10893   -0.42707792    0.04872853   
  416    171.3441    -0.12091952    0.029541     
  417    171.41658   -0.066802983   0.04012571   
  418    171.44804   -0.7123463     0.02630446   
  419    171.46708   -0.92255555    0.04103979   
  420    214.3831    1.1408593      0.05431639   
  421    215.97523   -0.98393717    0.05239152   
  422    216.04581   -0.67890513    0.05047373   
  423    215.84445   -0.93197744    0.0545384    
  424    216.00782   -0.77357037    0.052235     
  425    215.94452   -0.66410701    0.05255749   
  426    215.68321   -1.0286977     0.03876558   
  427    215.77429   0.81062074     0.05380911   
  428    215.96583   0.83114803     0.03854642   
  429    163.70822   14.124429      0.0327373    
  430    163.90292   14.234473      0.03336952   
  431    164.73001   14.840498      0.03330055   
  432    169.41408   13.3756        0.04703936   
  433    169.78795   13.548655      0.05089158   
  434    169.45238   13.727665      0.0247841    
  435    170.81401   13.391258      0.03853027   
  436    171.14913   14.414367      0.05186565   
  437    193.22779   7.3462331      0.0509332    
  438    193.20783   7.1321637      0.05004293   
  439    195.01156   9.4081282      0.05435732   
  440    195.03723   8.6909371      0.04626846   
  441    194.89442   8.7444898      0.04641908   
  442    194.9527    8.9327474      0.04615933   
  443    194.92515   8.9367422      0.04690668   
  444    194.98285   8.7849671      0.04622834   
  445    194.8418    8.9187841      0.0466013    
  446    195.03297   8.7056432      0.04596407   
  447    194.7419    9.3103387      0.0541161    
  448    194.77569   9.3541668      0.05407038   
  449    194.83362   9.1867377      0.02786058   
  450    194.72756   9.3009257      0.0540042    
  451    194.56968   8.8575768      0.02750339   
  452    194.60374   9.1183293      0.04592363   
  453    194.67745   9.217116       0.04546533   
  454    194.09447   9.3104412      0.05361719   
  455    194.68901   9.1524996      0.0462953    
  456    194.66307   9.2438301      0.04495216   
  457    194.46178   10.707208      0.03715014   
  458    195.19277   7.4904556      0.04828223   
  459    195.67555   8.1645224      0.04883288   
  460    195.37184   7.8416079      0.04544774   
  461    195.79164   7.548593       0.04875144   
  462    195.68075   7.6721832      0.04917878   
  463    195.88173   7.9679909      0.04658419   
  464    195.89774   7.9968548      0.04631826   
  465    195.82139   7.782156       0.04455037   
  466    195.90776   7.9040043      0.04610218   
  467    195.92246   7.5157023      0.0489157    
  468    197.63555   8.5085688      0.03241227   
  469    197.58893   7.9527695      0.04566316   
  470    197.73855   8.6273624      0.05218987   
  471    197.93711   8.7510953      0.0510639    
  472    198.01735   8.6672058      0.05053236   
  473    199.73276   6.5616922      0.04008407   
  474    199.72198   6.5886549      0.04952318   
  475    199.52506   6.8044252      0.04019268   
  476    199.70215   6.94319        0.05352129   
  477    199.47355   6.9653348      0.04040961   
  478    199.45646   7.167299       0.04984934   
  479    199.52646   7.1272397      0.05029564   
  480    199.35533   6.8809183      0.05308791   
  481    199.34231   6.8421477      0.0517859    
  482    199.32571   7.0389157      0.05275968   
  483    199.2907    7.1625574      0.05303094   
  484    199.31455   6.4016992      0.02353827   
  485    199.25667   6.3570816      0.0236115    
  486    199.13505   7.0329006      0.05265401   
  487    199.11505   7.0351147      0.05056174   
  488    199.14516   7.1207809      0.05075368   
  489    199.15411   7.0859093      0.04769605   
  490    199.13251   7.0002592      0.04940918   
  491    199.1536    7.0152071      0.04745416   
  492    199.26011   7.1662024      0.0478118    
  493    199.19268   7.2192915      0.05079898   
  494    199.21802   7.2597491      0.05061226   
  495    199.31523   9.4339433      0.05201843   
  496    199.35604   9.3221962      0.02196513   
  497    172.04178   14.690255      0.03778081   
  498    171.4377    14.67659       0.03401268   
  499    171.49502   15.504376      0.0280097    
  500    174.08127   15.497894      0.03638488   
