# ID  RA  Dec  zRS  Distance 
10  153.7129031  13.33870279  0.0391514  85.1479334404  
13  154.1604  13.852258  0.04822463  107.748652857  
12  154.24554  13.399298  0.03245738  69.3025514123  
15  154.53419  12.743342  0.04880247  109.017250724  
14  154.36828  12.897772  0.04886701  109.353870353  
17  155.96871  12.113635  0.04909367  108.286290212  
16  156.058002  12.22490948  0.0534972  120.126057918  
19  157.2294183  12.57999631  0.0331347  67.3332613222  
18  157.2456907  12.4508376  0.0322406  65.4518383109  
62  237.4783863  9.82865051  0.0458336  32.1661574387  
322  159.92876  -0.70793702  0.02719358  56.8669980384  
323  160.44369  -0.60057035  0.03641907  74.850758305  
320  158.37111  -0.86040846  0.04044293  86.9467723098  
321  159.85805  -1.2451182  0.03944447  83.0054211559  
326  160.9254995  -0.921759684  0.0397182  82.3517218021  
327  160.8947661  -0.934240701  0.0387097  79.9303393672  
324  159.8515862  -0.389298558  0.0185562  47.7123117911  
325  160.8104861  -1.087394644  0.0382643  79.0185100577  
328  160.6782133  -0.348292184  0.0187341  47.008995618  
329  160.9382409  -0.423249391  0.0391094  80.6266436528  
201  209.9417284  1.075795503  0.0490064  78.4057734832  
200  209.928063  1.11035922  0.048603  77.1941701826  
203  210.79911  -0.97482068  0.0247677  11.3393952735  
202  211.2192753  -0.611270575  0.0247308  11.349152675  
205  211.1292  -0.75622125  0.0540957  93.2266031743  
204  210.92707  -1.1373815  0.02694167  15.8422472008  
207  145.9696496  0.830923679  0.0363569  90.8184825919  
206  211.10827  -0.35614922  0.04756837  74.6288444166  
209  145.80019  0.41417226  0.02524959  68.8471318556  
208  145.89356  1.0284222  0.05329375  133.93065597  
77  204.59937  14.026876  0.0430956  59.6499767441  
76  200.1899  15.259107  0.02290553  2.1734580059  
75  200.39985  15.321629  0.02206582  4.06608114365  
74  200.15847  14.592569  0.02953613  18.7821019216  
73  242.11786  7.4567608  0.03345593  11.9447929585  
72  242.13001  6.3561222  0.04939973  44.4516521579  
71  241.10945  8.6358774  0.04181174  21.5324453035  
70  238.88732  7.3811851  0.04464837  30.5955032748  
79  203.9562772  13.41753395  0.0422558  57.0545757136  
78  203.9853986  13.34304739  0.0424086  57.5177351047  
8  150.87304  13.103323  0.02772479  64.2068800387  
68  238.71564  7.9489673  0.04503428  31.0994159588  
120  179.58032  11.390988  0.03551906  48.3814910411  
121  180.1191017  12.04246997  0.0432519  68.7432599879  
122  180.209263  12.16763034  0.0401106  59.9452135306  
123  180.2730363  11.84015129  0.0437855  70.144772743  
124  180.1088559  11.99591248  0.0438374  70.3997008302  
125  179.3251  11.655885  0.02130377  25.3929005054  
126  179.75317  12.083806  0.03668709  51.153877008  
127  180.0984568  11.93500481  0.0435647  69.6484260056  
128  181.92463  12.04864  0.02998388  32.6703217977  
129  181.79769  12.454114  0.04251354  65.3509525681  
69  238.82808  7.8408122  0.05057342  46.6851018  
414  171.97675  -1.2257048  0.04205796  77.0358073351  
415  171.10893  -0.42707792  0.04872853  95.3909602934  
416  171.3441  -0.12091952  0.029541  47.9683812008  
417  171.41658  -0.066802983  0.04012571  71.9846900306  
410  170.5812  -0.62087663  0.0401581  73.1637592856  
411  170.3728  -0.58885009  0.04991531  99.4026689911  
412  170.89598  -0.090130957  0.04832833  94.3305442076  
413  170.63028  -0.017128795  0.04074237  74.3127963568  
498  171.4377077  14.67657311  0.0340127  52.727415658  
418  171.4480414  -0.712358533  0.0263045  42.8144115703  
419  171.46708  -0.92255555  0.04103979  74.7164188263  
499  171.49502  15.504376  0.0280097  40.3855231194  
319  225.2025  0.4923975  0.04256609  47.264382939  
318  224.7910419  0.759581858  0.0410678  45.0715350545  
313  220.94264  0.71789708  0.0503807  68.7986316356  
312  220.83067  1.1713897  0.04977832  67.12471552  
311  220.8273712  -1.253467068  0.0497792  69.6778712855  
310  219.37553  -0.84073512  0.05070959  73.3025833545  
317  223.1331098  -0.16634335  0.0424437  50.689201712  
316  223.1998082  0.033096617  0.0443467  53.7273854925  
315  223.39813  -0.4365642  0.04227361  50.3743848061  
314  223.4038329  0.005710703  0.043842  52.546699918  
496  199.35604  9.3221962  0.02196513  4.74225047509  
497  172.04178  14.690255  0.03778081  61.2445459502  
3  150.7656114  12.94995216  0.0356539  80.4505065759  
368  219.5687635  -0.349748026  0.0368981  47.5408758761  
369  158.7107514  0.676396599  0.0320346  66.6428258392  
366  216.8813341  -0.922430345  0.0303446  28.3014928845  
367  216.88066  -0.59100022  0.04957435  74.1068597106  
364  217.44188  -0.15240642  0.03010685  27.8922796835  
365  217.34472  -0.82754393  0.04808114  70.4787293341  
362  217.4243207  0.369021964  0.0537463  81.935614368  
363  217.4341846  0.081278315  0.0546585  84.3835591487  
